registry_id,facility_name,parent_company,sic_code,latitude,longitude,state,city,year,caa_formal_actions,cwa_formal_actions,rcra_formal_actions,total_formal_actions,caa_penalties,cwa_penalties,rcra_penalties,total_penalties,last_action_date
110000000001,Freeport-McMoRan Inc Plant,Freeport-McMoRan Inc,1000,32.8139,-112.6375,AZ,AZCity1,2015,0,0,0,0,0.0,0.0,0.0,0.0,
110000000001,Freeport-McMoRan Inc Plant,Freeport-McMoRan Inc,1000,32.8139,-112.6375,AZ,AZCity1,2016,0,0,0,0,0.0,0.0,0.0,0.0,
110000000001,Freeport-McMoRan Inc Plant,Freeport-McMoRan Inc,1000,32.8139,-112.6375,AZ,AZCity1,2017,0,1,0,1,0.0,23844.47,0.0,23844.47,2017-07-15
110000000001,Freeport-McMoRan Inc Plant,Freeport-McMoRan Inc,1000,32.8139,-112.6375,AZ,AZCity1,2018,0,0,0,0,0.0,0.0,0.0,0.0,
110000000001,Freeport-McMoRan Inc Plant,Freeport-McMoRan Inc,1000,32.8139,-112.6375,AZ,AZCity1,2019,1,0,0,1,24142.83,0.0,0.0,24142.83,2019-02-14
110000000001,Freeport-McMoRan Inc Plant,Freeport-McMoRan Inc,1000,32.8139,-112.6375,AZ,AZCity1,2020,0,0,0,0,0.0,0.0,0.0,0.0,
110000000002,Freeport-McMoRan Inc Facility #2,Freeport-McMoRan Inc,1000,34.7665,-113.7786,AZ,AZCity2,2015,0,0,0,0,0.0,0.0,0.0,0.0,
110000000002,Freeport-McMoRan Inc Facility #2,Freeport-McMoRan Inc,1000,34.7665,-113.7786,AZ,AZCity2,2016,0,0,0,0,0.0,0.0,0.0,0.0,
110000000002,Freeport-McMoRan Inc Facility #2,Freeport-McMoRan Inc,1000,34.7665,-113.7786,AZ,AZCity2,2017,0,0,0,0,0.0,0.0,0.0,0.0,
110000000002,Freeport-McMoRan Inc Facility #2,Freeport-McMoRan Inc,1000,34.7665,-113.7786,AZ,AZCity2,2018,1,0,0,1,112291.09,0.0,0.0,112291.09,2018-01-04
110000000002,Freeport-McMoRan Inc Facility #2,Freeport-McMoRan Inc,1000,34.7665,-113.7786,AZ,AZCity2,2020,0,0,0,0,0.0,0.0,0.0,0.0,
110000000003,Freeport-McMoRan Inc Plant #3,Freeport-McMoRan Inc,1000,32.2698,-112.4333,AZ,AZCity3,2015,0,0,0,0,0.0,0.0,0.0,0.0,
110000000003,Freeport-McMoRan Inc Plant #3,Freeport-McMoRan Inc,1000,32.2698,-112.4333,AZ,AZCity3,2016,0,0,0,0,0.0,0.0,0.0,0.0,
110000000003,Freeport-McMoRan Inc Plant #3,Freeport-McMoRan Inc,1000,32.2698,-112.4333,AZ,AZCity3,2017,0,0,0,0,0.0,0.0,0.0,0.0,
110000000003,Freeport-McMoRan Inc Plant #3,Freeport-McMoRan Inc,1000,32.2698,-112.4333,AZ,AZCity3,2018,0,0,0,0,0.0,0.0,0.0,0.0,
110000000003,Freeport-McMoRan Inc Plant #3,Freeport-McMoRan Inc,1000,32.2698,-112.4333,AZ,AZCity3,2019,0,0,0,0,0.0,0.0,0.0,0.0,
110000000004,Freeport-McMoRan Inc Refinery #4,Freeport-McMoRan Inc,1000,34.8333,-110.5205,AZ,AZCity4,2015,0,0,0,0,0.0,0.0,0.0,0.0,
110000000004,Freeport-McMoRan Inc Refinery #4,Freeport-McMoRan Inc,1000,34.8333,-110.5205,AZ,AZCity4,2016,0,0,0,0,0.0,0.0,0.0,0.0,
110000000004,Freeport-McMoRan Inc Refinery #4,Freeport-McMoRan Inc,1000,34.8333,-110.5205,AZ,AZCity4,2017,0,0,0,0,0.0,0.0,0.0,0.0,
110000000004,Freeport-McMoRan Inc Refinery #4,Freeport-McMoRan Inc,1000,34.8333,-110.5205,AZ,AZCity4,2019,0,0,0,0,0.0,0.0,0.0,0.0,
110000000004,Freeport-McMoRan Inc Refinery #4,Freeport-McMoRan Inc,1000,34.8333,-110.5205,AZ,AZCity4,2020,0,0,0,0,0.0,0.0,0.0,0.0,
110000000005,Newmont Corporation Manufacturing Site,Newmont Corporation,1040,40.9465,-105.7243,CO,COCity1,2015,0,0,0,0,0.0,0.0,0.0,0.0,
110000000005,Newmont Corporation Manufacturing Site,Newmont Corporation,1040,40.9465,-105.7243,CO,COCity1,2016,0,0,0,0,0.0,0.0,0.0,0.0,
110000000005,Newmont Corporation Manufacturing Site,Newmont Corporation,1040,40.9465,-105.7243,CO,COCity1,2017,0,0,0,0,0.0,0.0,0.0,0.0,
110000000005,Newmont Corporation Manufacturing Site,Newmont Corporation,1040,40.9465,-105.7243,CO,COCity1,2018,0,0,0,0,0.0,0.0,0.0,0.0,
110000000005,Newmont Corporation Manufacturing Site,Newmont Corporation,1040,40.9465,-105.7243,CO,COCity1,2019,0,0,0,0,0.0,0.0,0.0,0.0,
110000000005,Newmont Corporation Manufacturing Site,Newmont Corporation,1040,40.9465,-105.7243,CO,COCity1,2020,0,0,0,0,0.0,0.0,0.0,0.0,
110000000006,Newmont Corporation Operations Center #2,Newmont Corporation,1040,39.8259,-105.0681,CO,COCity2,2015,0,0,0,0,0.0,0.0,0.0,0.0,
110000000006,Newmont Corporation Operations Center #2,Newmont Corporation,1040,39.8259,-105.0681,CO,COCity2,2016,0,0,0,0,0.0,0.0,0.0,0.0,
110000000006,Newmont Corporation Operations Center #2,Newmont Corporation,1040,39.8259,-105.0681,CO,COCity2,2017,0,0,0,0,0.0,0.0,0.0,0.0,
110000000006,Newmont Corporation Operations Center #2,Newmont Corporation,1040,39.8259,-105.0681,CO,COCity2,2020,0,0,1,1,0.0,0.0,641409.47,641409.47,2020-01-20
110000000007,Southern Copper Corporation Facility,Southern Copper Corporation,1021,32.4324,-112.0441,AZ,AZCity1,2015,2,0,0,2,71889.41,0.0,0.0,71889.41,2015-03-30
110000000007,Southern Copper Corporation Facility,Southern Copper Corporation,1021,32.4324,-112.0441,AZ,AZCity1,2016,0,0,0,0,0.0,0.0,0.0,0.0,
110000000007,Southern Copper Corporation Facility,Southern Copper Corporation,1021,32.4324,-112.0441,AZ,AZCity1,2018,0,0,0,0,0.0,0.0,0.0,0.0,
110000000007,Southern Copper Corporation Facility,Southern Copper Corporation,1021,32.4324,-112.0441,AZ,AZCity1,2019,0,0,0,0,0.0,0.0,0.0,0.0,
110000000007,Southern Copper Corporation Facility,Southern Copper Corporation,1021,32.4324,-112.0441,AZ,AZCity1,2020,0,0,0,0,0.0,0.0,0.0,0.0,
110000000008,Mosaic Company Refinery,Mosaic Company,1474,29.3647,-82.5033,FL,FLCity1,2015,0,0,0,0,0.0,0.0,0.0,0.0,
110000000008,Mosaic Company Refinery,Mosaic Company,1474,29.3647,-82.5033,FL,FLCity1,2016,0,0,0,0,0.0,0.0,0.0,0.0,
110000000008,Mosaic Company Refinery,Mosaic Company,1474,29.3647,-82.5033,FL,FLCity1,2017,0,0,0,0,0.0,0.0,0.0,0.0,
110000000008,Mosaic Company Refinery,Mosaic Company,1474,29.3647,-82.5033,FL,FLCity1,2018,0,0,0,0,0.0,0.0,0.0,0.0,
110000000008,Mosaic Company Refinery,Mosaic Company,1474,29.3647,-82.5033,FL,FLCity1,2019,0,0,0,0,0.0,0.0,0.0,0.0,
110000000009,Mosaic Company Refinery #2,Mosaic Company,1474,27.769,-84.0732,FL,FLCity2,2015,0,0,0,0,0.0,0.0,0.0,0.0,
